recipient,name
"Юридичні особи,Суб’єкти господарювання",Реєстрація змін до істотних умов запозичення у формі розміщення (випуску) облігацій внутрішніх місцевих позик
"Юридичні особи,Суб’єкти господарювання",Реєстрація звіту про результати розміщення (звіту про підсумки випуску) цінних паперів (крім інститутів спільного інвестування)
"Юридичні особи,Суб’єкти господарювання",Реєстрація звіту про результати закритого (приватного) розміщення акцій з метою формування початкового статутного капіталу (фонду) корпоративного інвестиційного фонду
"Юридичні особи,Суб’єкти господарювання",Реєстрація договорів (контрактів) про спільну інвестиційну діяльність без створення юридичної особи
"Юридичні особи,Суб’єкти господарювання",Реєстрація декларації про початок виконання підготовчих робіт або видача дубліката зареєстрованої декларації
"Юридичні особи,Суб’єкти господарювання",Реєстрація декларації про початок виконання будівельних робіт або видача дубліката зареєстрованої декларації
"Юридичні особи,Суб’єкти господарювання",Реєстрація декларації про готовність об’єкта до експлуатації або видача дубліката зареєстрованої декларації
"Юридичні особи,Суб’єкти господарювання",Реєстрація галузевих та обласних (регіональних) страхових фондів документації
"Юридичні особи,Суб’єкти господарювання","Реєстрація власних і торгових назв дорогоцінного каміння, дорогоцінного каміння органогенного утворення, напівдорогоцінного і декоративного каміння з родовищ України"
"Юридичні особи,Суб’єкти господарювання",Реєстрація випуску та проспекту емісії (інформації про випуск) цінних паперів
"Юридичні особи,Суб’єкти господарювання",Реєстрація випуску акцій
"Юридичні особи,Суб’єкти господарювання",Реєстрація випуску (випусків) та проспекту емісії цінних паперів інститутів спільного інвестування
"Юридичні особи,Суб’єкти господарювання",Реєстрація баз персональних даних в Державному реєстрі баз персональних даних
"Юридичні особи,Суб’єкти господарювання",Продовження строку дії дозволу на розміщення зовнішньої реклами
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на постачання електричної енергії за регульованим тарифом
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на постачання електричної енергії за нерегульованим тарифом
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на передачу електричної енергії місцевими (локальними) електричними мережами
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на передачу електричної енергії магістральними та міждержавними електричними мережами
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на оптове постачання електричної енергії
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на комбіноване виробництво теплової та електричної енергії
"Юридичні особи,Суб’єкти господарювання",Продовження дії ліцензії на виробництво електричної енергії
"Юридичні особи,Суб’єкти господарювання",Продовження дії дозволу на право відкриття магазину безмитної торгівлі
"Юридичні особи,Суб’єкти господарювання",Проведення реєстрації харчових добавок та ароматизаторів для харчових продуктів
"Юридичні особи,Суб’єкти господарювання","Проведення державної реєстрації харчових продуктів спеціального дієтичного споживання, функціональних харчових продуктів та дієтичних добавок98"
"Юридичні особи,Суб’єкти господарювання","Проведення державної реєстрації генетично модифікованих організмів джерел харчових продуктів, а також харчових продуктів, косметичних та лікарських засобів, які містять такі організми або отримані з їх використанням"
"Юридичні особи,Суб’єкти господарювання",Присвоєння кваліфікації судового експерта
"Юридичні особи,Суб’єкти господарювання",Присвоєння II-III спортивних розрядів.
"Юридичні особи,Суб’єкти господарювання","Прийом до попереднього розгляду заяв і підготовка документів з ліцензування господарської діяльності з централізованого водопостачання та водовідведення, з виробництва теплової енергії, транспортування її магістральними і місцевими (розподільчими) теплови"
"Юридичні особи,Суб’єкти господарювання",Прийняття рішення про зміну основного місця обліку та переведення великих платників на облік у спеціалізовані чи інші органи ДПС
"Юридичні особи,Суб’єкти господарювання",Приймання податкової звітності платників податків в електронному вигляді засобами телекомунікаційного зв'язку: приймання податкових документів в електронному вигляді
"Юридичні особи,Суб’єкти господарювання",Погодження тексту у маркуванні фасованої питної води
"Юридичні особи,Суб’єкти господарювання","Погодження тексту реклами харчових продуктів для спеціального дієтичного споживання, функціональних харчових продуктів та дієтичних добавок"
"Юридичні особи,Суб’єкти господарювання","Погодження розкладу руху автобусів на міжміських автобусних маршрутах, які не виходять за межі території області"
"Юридичні особи,Суб’єкти господарювання",Погодження режимів рибогосподарської експлуатації водних об’єктів
"Юридичні особи,Суб’єкти господарювання",Погодження проектів лімітів на утворення та розміщення небезпечних відходів
"Юридичні особи,Суб’єкти господарювання","Погодження проектів землеустрою щодо відведення земельних ділянок, рішення стосовно яких приймаються Кабінетом Міністрів України, погоджуються Верховною Радою України"
"Юридичні особи,Суб’єкти господарювання","Погодження проектів відведення земельних ділянок, у тому числі тих, що призначаються для сільськогосподарських потреб, погодження зміни землевласника, землекористувача на території пам’яток та в їх охоронних зонах, на охоронюваних археологічних територіях"
"Юридичні особи,Суб’єкти господарювання","Погодження програм та проектів містобудівних, архітектурних та ландшафтних перетворень, будівельних, меліоративних, шляхових, земляних робіт на пам’ятках національного значення, їх територіях, у зонах охорони, на охоронюваних археологічних територіях, в і"
"Юридичні особи,Суб’єкти господарювання","Погодження проведення заходів, спрямованих на охорону природних комплексів, ліквідацію наслідків аварій, стихійного лиха та в інших цілях, не передбачених проектом організації території природного, біосферного заповідника, національного природного парку"
"Юридичні особи,Суб’єкти господарювання","Погодження проведення гідромеліоративних робіт у місцях, де перебувають водоплавні птахи, хутрові звірі, та промислового вилову рибив місцях, де розводяться бобри і хохулі"
"Юридичні особи,Суб’єкти господарювання",Погодження плану прокладання інженерних мереж
"Юридичні особи,Суб’єкти господарювання","Погодження питань щодо розміщення реклами на пам’ятках національного значення та в зонах їх охорони, в історичних ареалах населених місць"
"Юридичні особи,Суб’єкти господарювання","Погодження питань щодо відчуження або передачі пам’яток їх власниками або уповноваженими ними органами іншим особам у володіння, користування або управління"
"Юридичні особи,Суб’єкти господарювання","Погодження передачі музейних предметів і музейних колекцій, музейних зібрань, що належать до державної частини Музейного фонду України, та предметів музейного значення, що підлягають внесенню до державної частини Музейного фонду України на тимчасове переб"
"Юридичні особи,Суб’єкти господарювання","Погодження паспортів міжміських та приміських автобусних маршрутів регулярних спеціальних перевезень, що виходять за межі території області (міжобласних маршрутів)"
"Юридичні особи,Суб’єкти господарювання","Погодження отримання ліцензії на експорт та імпорт озоноруйнівних речовин та продукції, що їх містить, та видає листи роз’яснення, якщо продукція не містить озоноруйнівних речовин"
"Юридичні особи,Суб’єкти господарювання","Погодження науково-проектної документації на виконання робіт з консервації, реставрації, реабілітації, музеєфікації, ремонту та пристосування пам’яток77"
"Юридичні особи,Суб’єкти господарювання",Погодження науковими установами програм на проведення дослідного вилову водних біоресурсів
"Юридичні особи,Суб’єкти господарювання",Погодження на розміщення реклами.
"Юридичні особи,Суб’єкти господарювання","Погодження місця розміщення підприємств, що здійснюють переробку, утилізацію або знищення вилученої з обігу неякісної, небезпечної продукції"
"Юридичні особи,Суб’єкти господарювання",Погодження місць розміщення об’єктів поводження з небезпечними відходами
"Юридичні особи,Суб’єкти господарювання",Погодження клопотання водокористувачів з обгрунтуванням потреби у воді у разі використання поверхневих вод
"Юридичні особи,Суб’єкти господарювання",Погодження звернення іноземного засобу масової інформації для оформлення довгострокової візи
"Юридичні особи,Суб’єкти господарювання",Погодження заяви про наміри у складі розділу «Оцінки впливів на навколишнє середовище» (ОВНС)
"Юридичні особи,Суб’єкти господарювання",Погодження дендроплану проектної документації
"Юридичні особи,Суб’єкти господарювання",Погодження генерального плану будівництва (реконструкції тощо) об’єкта
"Юридичні особи,Суб’єкти господарювання","Погодження вивезення за межі митної території України як давальницької сировини дорогоцінних металів і дорогоцінного каміння, їх відходів та брухту"
"Юридичні особи,Суб’єкти господарювання",Повідомна реєстрація колективних договорів.
"Юридичні особи,Суб’єкти господарювання",Повідомлення на ввезення на митну територію України незареєстрованих медичних виробів
"Юридичні особи,Суб’єкти господарювання",Підтвердження про державну реєстрацію медичних виробів
"Юридичні особи,Суб’єкти господарювання",Підтвердження законності вилучення водних біоресурсів з середовища їх існування та переробки продуктів лову
"Юридичні особи,Суб’єкти господарювання",Підтвердження закладення технічної та проектної (робочої) документації до страхового фонду документації України
"Юридичні особи,Суб’єкти господарювання","Підготовка та видача списків громадян, які перебувають на квартирному обліку"
"Юридичні особи,Суб’єкти господарювання","Підготовка та видача контрольних списків працівників підприємств, установ, організацій, які перебувають на квартирному обліку в районних в м.Києві державних адміністраціях"
"Юридичні особи,Суб’єкти господарювання",Підготовка проекту рішення Київради щодо погодження клопотання про надання надр у користування
"Юридичні особи,Суб’єкти господарювання",Підготовка нотаріально оформлених документів для їх подальшої консульської легалізації
"Юридичні особи,Суб’єкти господарювання",Переоформлення ліцензії на право провадження господарської діяльності з централізованого водопостачання та водовідведення
"Юридичні особи,Суб’єкти господарювання","Переоформлення ліцензії на право провадження господарської діяльності з виробництва теплової енергії (крім діяльності з виробництва теплової енергії на теплоелектроцентралях, теплоелектростанціях, атомних електростанціях і когенераційних установках та уст"
"Юридичні особи,Суб’єкти господарювання","Переоформлення дозволу на розміщення зовнішньої реклами у випадках зміни найменування суб’єкта господарювання – юридичної особи або прізвища, імені, по батькові фізичної особи-підприємця, зміни місцезнаходження суб’єкта господарювання, набуття права власн"
"Юридичні особи,Суб’єкти господарювання",Переоформлення дозволу на право відкриття магазину безмитної торгівлі
"Юридичні особи,Суб’єкти господарювання",Переоформлення дозволу на використання номерного ресурсу
"Юридичні особи,Суб’єкти господарювання","Переоформлення дозволу на виконання робіт підвищеної небезпеки та на експлуатацію (застосування) машин, механізмів, устатковання підвищеної небезпеки"
"Юридичні особи,Суб’єкти господарювання","Оцінка економічної ефективності інвестиційної пропозиції або інвестиційного проекту, для розроблення та реалізації яких може надаватися державна підтримка, і надання за її результатами експертного висновку"
"Юридичні особи,Суб’єкти господарювання",Оформлення та видача разових (індивідуальних) ліцензій
"Юридичні особи,Суб’єкти господарювання",Оформлення та видача ліцензій на імпорт товарів
"Юридичні особи,Суб’єкти господарювання",Оформлення та видача ліцензій на експорт товарів
"Юридичні особи,Суб’єкти господарювання",Оформлення подання Держкомтелерадіо України для видачі посвідки на тимчасове проживання в Україні працівників іноземних засобів масової інформації
"Юридичні особи,Суб’єкти господарювання","Оформлення нарядів на відпуск та повернення спирту етилового, коньячного і плодового, спирту етилового ректифікованого виноградного, спирту етилового ректифікованого плодового, спирту-сирцю виноградного, спирту-сирцю плодового, спирту етилового ректифіков"
"Юридичні особи,Суб’єкти господарювання",Організація державної експертизи у сфері криптографічного захисту інформації
"Юридичні особи,Суб’єкти господарювання",Надання платникам повідомлення про виявлені розбіжності між податковим зобов’язанням/податковим кредитом платників та їх контрагентів
"Юридичні особи,Суб’єкти господарювання",Надання ордера на видалення зелених насаджень
"Юридичні особи,Суб’єкти господарювання",Надання ордера  на проведення земляних робіт
"Юридичні особи,Суб’єкти господарювання",Надання ІІ категорії дитячо-юнацьким спортивним школам.
"Юридичні особи,Суб’єкти господарювання",Надання дозволу на відновлення земляних робіт
"Юридичні особи,Суб’єкти господарювання",Надання дозволу на виготовлення документів страхового фонду
"Юридичні особи,Суб’єкти господарювання",Надання відомостей з Єдиного реєстру податкових накладних
"Юридичні особи,Суб’єкти господарювання",Надання відомостей з Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців у вигляді довідки.
"Юридичні особи,Суб’єкти господарювання",Надання відомостей з Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців у вигляді витягу.
"Юридичні особи,Суб’єкти господарювання",Надання відомостей з Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців у вигляді виписки.
"Юридичні особи,Суб’єкти господарювання",Надання вищої категорії дитячо-юнацьким спортивним школам
"Юридичні особи,Суб’єкти господарювання",Надання витягу (довідки) з Національного реєстру донорів крові і її компонентів
"Юридичні особи,Суб’єкти господарювання","Надання витягу (довідки) з державного реєстру ліцензіатів з переробки донорської крові та її компонентів, виготовлення з них препаратів, діяльності банків пуповинної крові, інших тканин і клітин людини"
"Юридичні особи,Суб’єкти господарювання","Надання архівних довідок та копій документів, які зберігаються"
"Юридичні особи,Суб’єкти господарювання",Легалізація спілок об’єднань громадян шляхом повідомлення про заснування
"Юридичні особи,Суб’єкти господарювання",Легалізація всеукраїнських об’єднань громадян шляхом повідомлення про заснування
"Юридичні особи,Суб’єкти господарювання",Зупинення обігу цінних паперів (крім інститутів спільного інвестування)
"Юридичні особи,Суб’єкти господарювання","Здійснення підготовки нотаріально оформлених документів для їх консульської легалізації, призначених для використання на території інших держав"
"Юридичні особи,Суб’єкти господарювання","Здійснення перевірки на відповідність вимогам Закону України ""Про металобрухт"" та Ліцензійним умовам провадження господарської діяльності із заготівлі, переробки, металургійної переробки металобрухту кольорових та чорних металів, затверджених наказом Міні"
"Юридичні особи,Суб’єкти господарювання",Здійснення державної реєстрації/перереєстрації проектів (програм) міжнародної технічної допомоги
"Юридичні особи,Суб’єкти господарювання",Здійснення державної реєстрації/перереєстрації проектів (програм) міжнародної технічної допомоги
"Юридичні особи,Суб’єкти господарювання","Здійснення державної екологічної експертизи стосовно об’єктів, рішення щодо затвердження (схвалення) яких приймається Кабінетом Міністрів України"
"Юридичні особи,Суб’єкти господарювання",Здійснення акредитації виконавців (юридичних осіб – нерезидентів) проектів (програм) міжнародної технічної допомоги з видачею свідоцтва
"Юридичні особи,Суб’єкти господарювання","Затвердження тексту для етикетування харчових продуктів спеціального дієтичного споживання, функціональних харчових продуктів, дієтичних добавок"
"Юридичні особи,Суб’єкти господарювання",Затвердження розрахункових лісосік заготівлі деревини у порядку рубок головного користування
"Юридичні особи,Суб’єкти господарювання","Затвердження паспортів міжнародних та міжміських і приміських автобусних маршрутів, що виходять за межі території області (міжобласних маршрутів)"
"Юридичні особи,Суб’єкти господарювання",Затвердження лімітів на утворення та розміщення відходів
"Юридичні особи,Суб’єкти господарювання",Затвердження лімітів на спеціальне використання природних ресурсів у межах територій та об’єктів природно-заповідного фонду загальнодержавного значення
"Юридичні особи,Суб’єкти господарювання",Затвердження згідно із законодавством лімітів та квот на спеціальне використання ресурсів об’єктів тваринного та рослинного світу (крім водних живих ресурсів)
"Юридичні особи,Суб’єкти господарювання",Заміна свідоцтва про реєстрацію випуску цінних паперів
"Юридичні особи,Суб’єкти господарювання",Забезпечення передачі майна творчим спілкам
"Юридичні особи,Суб’єкти господарювання","Експертиза доцільності реструктуризації підприємств, які мають стратегічне значення для економіки та безпеки держави"
"Юридичні особи,Суб’єкти господарювання",Допуск цінних паперів іноземних емітентів до обігу на території України
"Юридичні особи,Суб’єкти господарювання","Дозвіл на проведення робіт на пам’ятках місцевого значення (крім пам’яток археології), їх територіях та в зонах охорони, реєстрація дозволів на проведення археологічних розвилок, розкопок."
"Юридичні особи,Суб’єкти господарювання","Дозвіл на проведення будь-яких діагностичних, експериментальних, випробувальних, вимірювальних робіт на підприємствах, в установах, організаціях, діяльність яких пов’язана з використанням біологічних агентів, хімічної сировини,продукції та речовин з джере"
"Юридичні особи,Суб’єкти господарювання","Дозвіл на початок роботи новостворених підприємств, впровадження нових технологій, передачу у виробництво зразків нових пожежонебезпечних машин, механізмів, устаткування та продукції, оренду будь-яких приміщень від органів державного пожежного нагляду"
"Юридичні особи,Суб’єкти господарювання",Дозвіл на переміщення (перенесення) пам’яток місцевого значення
"Юридичні особи,Суб’єкти господарювання","Дозвіл на застосування машин, механізмів, устатковання підвищеної небезпеки"
"Юридичні особи,Суб’єкти господарювання","Дозвіл на експлуатацію машин, механізмів, устатковання підвищеної небезпеки"
"Юридичні особи,Суб’єкти господарювання",Дозвіл на відключення від мереж ЦО і ГВП і порядок одержання технічних умов і дозволів для устрою альтернативного індивідуального опалення
"Юридичні особи,Суб’єкти господарювання",Дозвіл на виконання топографо-геодезичних робіт.
"Юридичні особи,Суб’єкти господарювання",Дозвіл на виконання робіт підвищеної небезпеки
Суб’єкти господарювання,Державна реєстрація фізичної особи - підприємця.
Суб’єкти господарювання,Державна реєстрація припинення підприємницької діяльності фізичної особи-підприємця.
"Юридичні особи,Суб’єкти господарювання",Державна реєстрація іноземних інвестицій
"Юридичні особи,Суб’єкти господарювання",Державна реєстрація інноваційних проектів
"Юридичні особи,Суб’єкти господарювання","Державна реєстрація інвестиційних проектів, для реалізації яких може надаватися державна підтримка, та проектних (інвестиційних) пропозицій, на основі яких готуються інвестиційні проекти, для розроблення яких може надаватися державна підтримка з видачею витягу з Державного реєстру інвестиційних проектів та проектних (інвестиційних) пропозицій"
Суб’єкти господарювання,"Державна реєстрація змін до відомостей про фізичну особу-підприємця, які містяться в Єдиному державному реєстрі юридичних осіб та фізичних осіб-підприємців."
"Юридичні особи,Суб’єкти господарювання",Державна реєстрація договорів із трансферу технологій та ведення державного реєстру таких договорів
"Юридичні особи,Суб’єкти господарювання",Державна реєстрація дезінфекційних засобів
"Юридичні особи,Суб’єкти господарювання",Державна акредитація фізичних і юридичних осіб на право проведення наукової та науково-технічної експертизи
"Юридичні особи,Суб’єкти господарювання",Державна акредитація технологічних брокерів
"Юридичні особи,Суб’єкти господарювання",Державна акредитація закладів охорони здоров’я
"Юридичні особи,Суб’єкти господарювання",Декларація відповідності матеріально-технічної бази роботодавця вимогам законодавства з питань охорони праці та промислової безпеки
"Юридичні особи,Суб’єкти господарювання",Галузева атестація лабораторій з контролю якості та безпеки лікарських засобів
"Юридичні особи,Суб’єкти господарювання","Внесення суб'єкта видавничої справи до Державного реєстру видавців,  виготовлювачів  і розповсюджувачів видавничої продукції"
"Юридичні особи,Суб’єкти господарювання","Внесення суб’єктів господарювання до реєстру операторів, провайдерів телекомунікацій"
"Юридичні особи,Суб’єкти господарювання",Внесення змін до розкладу руху міжобласних автобусних маршрутів
"Юридичні особи,Суб’єкти господарювання","Внесення змін до Реєстру радіоелектронних засобів та випромінювальних пристроїв, що можуть застосовуватися на території України"
"Юридичні особи,Суб’єкти господарювання","Внесення змін до реєстру операторів, провайдерів телекомунікацій"
"Юридичні особи,Суб’єкти господарювання",Внесення змін до дозволу на розміщення зовнішньої реклами
"Юридичні особи,Суб’єкти господарювання","Внесення змін до відомостей, що містяться в Державному реєстрі баз персональних даних, про зареєстровану базу персональних даних"
"Юридичні особи,Суб’єкти господарювання","Внесення змін до відомостей про юридичну особу, що містяться в Єдиному державному реєстрі юридичних осіб та фізичних осіб-підприємців і не пов’язані зі змінами до установчих документів."
"Юридичні особи,Суб’єкти господарювання","Внесення до Реєстру радіоелектронних засобів та випромінювальних пристроїв, що можуть застосовуватися на території України нового типу радіоелектронного засобу або випромінювального пристрою"
"Юридичні особи,Суб’єкти господарювання","Включення/виключення до/з Державного реєстру реєстраторів розрахункових операцій моделей реєстраторів розрахункових операцій, їх модифікацій вітчизняного та іноземного виробництва, розширення переліку версій внутрішнього програмного забезпечення моделей,"
"Юридичні особи,Суб’єкти господарювання","Включення до Державного реєстру підприємств, установ, організацій, які займаються розробкою, впровадженням та використанням енергозберігаючих заходів та енергоефективних проектів"
"Юридичні особи,Суб’єкти господарювання",Включення відомостей про юридичну особу до Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців.
Суб’єкти господарювання,Включення відомостей про фізичну особу – підприємця до Єдиного державного реєстру юридичних осіб та фізичних осіб - підприємців
"Юридичні особи,Суб’єкти господарювання",Відновлення обігу акцій
"Юридичні особи,Суб’єкти господарювання","Висновок державної санітарно-епідеміологічної експертизи продукції, напівфабрикатів,речовин, матеріалів та небезпечних факторів, використання, передача або збут яких може завдати шкоди здоров'ю людей (Київська міська санітарно – епідеміологічна станція)"
"Юридичні особи,Суб’єкти господарювання","Висновок державної санітарно-епідеміологічної експертизи на діючий об`єкт, у тому числі військового та оборонного призначення (Київська міська санітарно – епідеміологічна станція)"
"Юридичні особи,Суб’єкти господарювання",Висновок державної санітарно-епідеміологічної експертизи матеріалів щодо поводження з відходами для затвердження і переліку лімітів на утворення і розміщення відходів
"Юридичні особи,Суб’єкти господарювання",Висновок державної санітарно-епідеміологічної експертизи матеріалів щодо поводження з відходами для затвердження і переліку лімітів на утворення і розміщення відходів
"Юридичні особи,Суб’єкти господарювання","Висновок державної санітарно-епідеміологічної експертизи діючих об'єктів, у тому числі військового та оборонного призначення (ДЗ «Санітарно-епідеміологічна станція на Південно-Західній залізниці» МОЗ України/ДЗ «Київська лінійна санітарно-епідеміологічна"
"Юридичні особи,Суб’єкти господарювання",Вилучення інституту спільного інвестування з Єдиного державного реєстру інститутів спільного інвестування
"Юридичні особи,Суб’єкти господарювання",Визначення переможця(ів) конкурсу з визначення уповноважених рейтингових агентств
"Юридичні особи,Суб’єкти господарювання",Визначення можливості застосування радіоелектронного засобу або випромінювального пристрою на території України
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на транспортування природного, нафтового газу і газу (метану) вугільних родовищ трубопроводами"
"Юридичні особи,Суб’єкти господарювання",Визнання недійсною ліцензії на транспортування нафтопродуктів магістральними трубопроводами
"Юридичні особи,Суб’єкти господарювання",Визнання недійсною ліцензії на транспортування нафти магістральними трубопроводами
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на розподіл природного, нафтового газу і газу (метану) вугільних родовищ"
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на постачання природного газу, газу (метану) вугільних родовищ за регульованим тарифом"
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на постачання природного газу, газу (метану) вугільних родовищ за нерегульованим тарифом"
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на зберігання природного газу, газу (метану) вугільних родовищ в обсягах, що перевищують рівень, встановлений ліцензійними умовами"
"Юридичні особи,Суб’єкти господарювання","Визнання недійсною ліцензії на виробництво теплової енергії на теплоелектроцентралях, когенераційних установках та установках з використанням нетрадиційних або поновлюваних джерел енергії"
"Юридичні особи,Суб’єкти господарювання",Визнання недійсними ліцензій у сфері централізованого водопостачання та водовідведення
"Юридичні особи,Суб’єкти господарювання",Визнання недійсними ліцензій у сфері теплопостачання
"Юридичні особи,Суб’єкти господарювання","Визнання інституту спільного інвестування як такого, що відповідає вимогам щодо мінімального обсягу активів ІСІ або визнання випуску цінних паперів ІСІ таким, що не відбувся"
"Юридичні особи,Суб’єкти господарювання",Видача форми реєстрації уловів (реекспорту) антарктичного та патагонського іклачів
"Юридичні особи,Суб’єкти господарювання",Видача торгового патенту
"Юридичні особи,Суб’єкти господарювання",Видача суб’єктам діяльності на територіях зони відчуження і зони безумовного (обов’язкового) відселення спеціальних дозволів
"Юридичні особи,Суб’єкти господарювання",Видача сертифікату Кімберлійського процесу
"Юридичні особи,Суб’єкти господарювання",Видача сертифікату екологічного аудитора
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про уповноваження органу із сертифікації
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про страхування або інше фінансове забезпечення цивільної відповідальності за шкоду від забруднення нафтою
"Юридичні особи,Суб’єкти господарювання","Видача свідоцтва про стабільність і надводний борт судна, що не підлягає нагляду класифікаційного товариства"
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про реєстрацію сільськогосподарського підприємства як суб’єкта спеціального режиму оподаткування податком на додану вартість
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про реєстрацію професійних спілок
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про реєстрацію платника податку на додану вартість
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про реєстрацію нерухомих об’єктів культурної спадщини як пам’яток їх власникам
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про призначення органу із сертифікації в державній системі сертифікації
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про отримання повноважень на здійснення діяльності щодо попередньої ідентифікації товарів у галузі державного експортного контролю
"Юридичні особи,Суб’єкти господарювання",Видача Свідоцтва про належність палива до альтернативного та ведення реєстру альтернативних видів палива
"Юридичні особи,Суб’єкти господарювання",Видача Свідоцтва про кваліфікацію когенераційної установки
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про загальнообов’язкове державне соціальне страхування
"Юридичні особи,Суб’єкти господарювання",Видача свідоцтва про державну реєстрацію символіки політичної партії
